;PROCEDIMENTO;"RN (alteração)";VIGÊNCIA;OD;AMB;HCO;HSO;REF;PAC;DUT;SUBGRUPO;GRUPO;CAPÍTULO
10;NEFROPEXIA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;NEFROPEXIA LAPAROSCÓPICA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;NEFRORRAFIA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;NEFROSTOMIA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;NEFROSTOMIA PERCUTÂNEA;;;;AMB;HCO;HSO;REF;PAC;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;NEFROURETERECTOMIA COM RESSECÇÃO VESICAL;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;NEFROURETERECTOMIA COM RESSECÇÃO VESICAL LAPAROSCÓPICA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;PIELOLITOTOMIA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;PIELOLITOTOMIA LAPAROSCÓPICA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;PIELOLITOTOMIA COM NEFROLITOTOMIA SIMPLES OU ANATRÓFICA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;PIELOPLASTIA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;PIELOPLASTIA LAPAROSCÓPICA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;PIELOSTOMIA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;PIELOTOMIA EXPLORADORA;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;PUNÇÃO ASPIRATIVA RENAL PARA DIAGNÓSTICO DE REJEIÇÃO;;;;;HCO;HSO;REF;PAC;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;PUNÇÃO BIÓPSIA RENAL PERCUTÂNEA;;;;AMB;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;REVASCULARIZAÇÃO RENAL;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;SINFISIOTOMIA (RIM EM FERRADURA);;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;TRANSURETERO ANASTOMOSE;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;TRATAMENTO CIRÚRGICO DA FÍSTULA PIELO-INTESTINAL;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;TUMOR RENAL - ENUCLEAÇÃO;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;TUMOR WILMS - TRATAMENTO CIRÚRGICO;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;TUMORES RETRO-PERITONEAIS - EXÉRESE;;;;;HCO;HSO;REF;;;RIM, BACINETE E SUPRA-RENAL;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;BIÓPSIA CIRÚRGICA DE URETER;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;BIÓPSIA ENDOSCÓPICA DE URETER;;;;AMB;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;CATETERISMO URETERAL;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;COLOCAÇÃO CIRÚRGICA DE DUPLO J;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;COLOCAÇÃO ENDOSCÓPICA DE DUPLO J;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;COLOCAÇÃO NEFROSCÓPICA DE DUPLO J;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;COLOCAÇÃO URETEROSCÓPICA DE DUPLO J;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;CORREÇÃO LAPAROSCÓPICA DE REFLUXO VÉSICO-URETERAL;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;DILATAÇÃO ENDOSCÓPICA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;DUPLICAÇÃO PIELOURETERAL - TRATAMENTO CIRÚRGICO;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;FÍSTULA URETERO-CUTÂNEA (TRATAMENTO CIRÚRGICO);;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;FÍSTULA URETERO-INTESTINAL (TRATAMENTO CIRÚRGICO);;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;FÍSTULA URETERO-VAGINAL (TRATAMENTO CIRÚRGICO);;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;MEATOTOMIA ENDOSCÓPICA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;REFLUXO VÉSICO-URETERAL - TRATAMENTO ENDOSCÓPICO (COM DIRETRIZ DE UTILIZAÇÃO);;;;;HCO;HSO;REF;;122.0;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;REIMPLANTE URETERAL POR VIA EXTRA, INTRA OU TRANSVESICAL;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;REIMPLANTE URETEROINTESTINAL;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;REIMPLANTE URETEROINTESTINAL LAPAROSCÓPICO;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;REIMPLANTE URETERO-VESICAL;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;REIMPLANTE URETERO-VESICAL LAPAROSCÓPICO;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;RETIRADA ENDOSCÓPICA DE CÁLCULO DE URETER;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;TRANSURETEROSTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;URETERECTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;URETEROCELE -TRATAMENTO CIRURGICO OU ENDOSCOPICO;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;URETEROILEOCISTOSTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;URETEROILEOSTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;URETERÓLISE;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;URETEROLITOTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;URETEROLITOTRIPSIA EXTRACORPÓREA;;;;;HCO;HSO;REF;PAC;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;URETEROPLASTIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;URETERORRENOLITOTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;URETERORRENOLITOTRIPSIA A LASER;;;;;HCO;HSO;REF;PAC;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;URETERORRENOLITOTRIPSIA FLEXÍVEL OU RÍGIDA (MEC., E.H., OU US);;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;URETEROSSIGMOIDOPLASTIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;URETEROSSIGMOIDOSTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;URETEROSTOMIA CUTÂNEA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;URETEROTOMIA INTERNA PERCUTÂNEA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;URETEROTOMIA INTERNA URETEROSCÓPICA FLEXÍVEL OU RÍGIDA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;URETEROURETEROCISTONEOSTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;URETEROURETEROSTOMIA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;URETEROURETEROSTOMIA LAPAROSCÓPICA;;;;;HCO;HSO;REF;;;URETER;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;AMPLIAÇÃO VESICAL;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;BEXIGA PSÓICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;BIÓPSIA ENDOSCÓPICA DE BEXIGA;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;BIÓPSIA VESICAL A CÉU ABERTO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;CÁLCULO VESICAL - EXTRAÇÃO ENDOSCÓPICA;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;CISTECTOMIA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;CISTECTOMIA LAPAROSCÓPICA (INCLUI PRÓSTATA OU ÚTERO);;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;CISTOLITOTOMIA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;CISTOLITOTRIPSIA A LASER;;;;;HCO;HSO;REF;PAC;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;CISTOLITOTRIPSIA EXTRACORPÓREA;;;;;HCO;HSO;REF;PAC;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;CISTOLITOTRIPSIA PERCUTÂNEA (U.S., E.H., E.C.);;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;CISTOLITOTRIPSIA TRANSURETRAL (U.S., E.H., E.C.);;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;CISTOPLASTIA REDUTORA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;CISTORRAFIA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;CISTOSTOMIA CIRÚRGICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;CISTOSTOMIA COM PROCEDIMENTO ENDOSCÓPICO;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;CISTOSTOMIA POR PUNÇÃO COM TROCATER;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;COLO DE DIVERTÍCULO - RESSECÇÃO ENDOSCÓPICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;COLO VESICAL - RESSECÇÃO ENDOSCÓPICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;CORPO ESTRANHO - EXTRAÇÃO CIRÚRGICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;CORPO ESTRANHO - EXTRAÇÃO ENDOSCÓPICA;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;DIVERTICULECTOMIA VESICAL;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;ENTEROCISTOPLASTIA (AMPLIAÇÃO VESICAL);;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;EXTROFIA EM CLOACA - TRATAMENTO CIRÚRGICO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;EXTROFIA VESICAL - TRATAMENTO CIRÚRGICO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;FÍSTULA VESICAL - TRATAMENTO CIRÚRGICO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;"INCONTINÊNCIA URINÁRIA - ""SLING"" VAGINAL OU ABDOMINAL, SINTÉTICO OU AUTÓLOGO";;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;INCONTINÊNCIA URINÁRIA - SUSPENSÃO ENDOSCÓPICA DE COLO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SUPRA-PÚBICO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;"INCONTINÊNCIA URINÁRIA COM COLPOPLASTIA ANTERIOR - TRATAMENTO CIRÚRGICO (COM OU SEM USODE PRÓTESE)";;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;INCONTINÊNCIA URINÁRIA - TRATAMENTO ENDOSCÓPICO (INJEÇÃO);;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;NEOBEXIGA CONTINENTE (CUTÂNEA, RETAL OU URETRAL);;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;PÓLIPOS VESICAIS - RESSECÇÃO CIRÚRGICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;PÓLIPOS VESICAIS - RESSECÇÃO ENDOSCÓPICA;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;PUNÇÃO E ASPIRAÇÃO VESICAL;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;REIMPLANTE URETERO-VESICAL À BOARI;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;RETENÇÃO POR COÁGULO - ASPIRAÇÃO VESICAL;;;;AMB;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;RETIRADA ENDOSCÓPICA DE DUPLO J;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;TUMOR VESICAL - FOTOCOAGULAÇÃO A LASER;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;TUMOR VESICAL - RESSECÇÃO ENDOSCÓPICA;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;"TRATAMENTO DA HIPERATIVIDADE VESICAL: INJEÇÃO INTRAVESICAL DE TOXINA BOTULÍNICA (COMDIRETRIZ DE UTILIZAÇÃO)";;;;AMB;HCO;HSO;REF;;73.0;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;VESICOSTOMIA CUTÂNEA - CONFECÇÃO OU FECHAMENTO;;;;;HCO;HSO;REF;;;BEXIGA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;ABSCESSO PERIURETRAL - TRATAMENTO CIRÚRGICO;;;;AMB;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;BIÓPSIA ENDOSCÓPICA DE URETRA;;;;AMB;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO CIRÚRGICA;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;CORPO ESTRANHO OU CÁLCULO - EXTRAÇÃO ENDOSCÓPICA;;;;AMB;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;DIVERTÍCULO URETRAL - TRATAMENTO CIRÚRGICO;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;ELETROCOAGULAÇÃO ENDOSCÓPICA;;;;AMB;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;ESFINCTEROTOMIA;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;FÍSTULA URETRAL - CORREÇÃO CIRÚRGICA;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;"INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO SLING OU ESFÍNCTER ARTIFICIAL (COM DIRETRIZ DEUTILIZAÇÃO)";;;;;HCO;HSO;REF;;48.0;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;INCONTINÊNCIA URINÁRIA - TRATAMENTO CIRÚRGICO (EXCETO ESFÍNCTER ARTIFICIAL);;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;INJEÇÕES PERIURETRAIS (INCLUINDO URETROCISTOCOPIA);;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;MEATOPLASTIA (RETALHO CUTÂNEO);;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
9;MEATOTOMIA URETRAL;;;;AMB;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
10;NEOURETRA PROXIMAL (CISTOURETROPLASTIA);;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
11;RESSECÇÃO DE CARÚNCULA;;;;AMB;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
12;RESSECÇÃO DE VÁLVULA URETRAL POSTERIOR;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
13;TUMOR URETRAL - EXCISÃO;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
14;URETRECTOMIA;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
15;URETROPLASTIA;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
16;URETROSTOMIA;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
0;URETROTOMIA INTERNA COM OU SEM PRÓTESE ENDOURETRAL;;;;;HCO;HSO;REF;;;URETRA;SISTEMA URINÁRIO;PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
1;ABSCESSO DE PRÓSTATA - DRENAGEM;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
2;ADENOMA - RESSECÇÃO;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
3;BIÓPSIA PROSTÁTICA;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
4;HEMORRAGIA DA LOJA PROSTÁTICA - EVACUAÇÃO E IRRIGAÇÃO;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
5;HEMORRAGIA DA LOJA PROSTÁTICA - REVISÃO E/OU HEMOSTASIA ENDOSCÓPICA;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
6;HIPERTROFIA PROSTÁTICA - IMPLANTE DE PRÓTESE;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
7;HIPERTROFIA PROSTÁTICA - TRATAMENTO POR DILATAÇÃO;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
8;PROSTATAVESICULECTOMIA;;;;;HCO;HSO;REF;;;PRÓSTATA E VESÍCULAS SEMINAIS;"SISTEMA GENITAL E REPRODUTORMASCULINO";PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
